"...1","ContactID","Country of Programming","Gender","Nationality","Speaks.English","Speaks.Arabic","Speaks.Amazigh","Speaks.French","Age","Beneficiary.Specialization","Level.of.Education","Highest.Education.Graduation.Date","Currently.Studying","Current.Institution.Type","EFE.Graduation.Date","X..of.Days.Since.Graduation","Mailing.City","Mailing.State.Province","Last.Reached.By.Survey","Number.Days.Until.Job.Placement","Earliest.Job.Placement.Start.Date","Earliest.Job.Placement.Type","Retained.Job.as.of.last.Status.Check","Number.Days.Retained.Job","Continuously.Working","X..Of.Days.Continuously.Working","pl_grad","pl_grad_data","pl_3","pl_3_data","pl_6","pl_6_data","pl_9","pl_9_data","pl_12","pl_12_data","X3.Month.Job.Retention","X3.Month.Continuously.Working","X3.Month.Post.Placement.Data.Avail.YES","X6.Month.Job.Retention","X6.Month.Continuously.Working","X6.Month.Post.Placement.Data.Avail.YES","X9.Month.Job.Retention","X9.Month.Continuously.Working","X9.Month.Post.Placement.Data.Avail.YES","X12.Month.Job.Retention","X12.Month.Continuously.Working","X12.Month.Post.Placement.Data.Avail.YES","Contact.Record.Type.y","Application.Status","Application..Created.Date","Program.would.you.like.to.apply.","Marital.Status","Expected.Graduation.Date","Currently.Working.","Currently.Looking.for.Job.","Duration.Looking.for.Job","Main.Obstacle.to.Secure.Job","Other.Obstacle","Current.Position.Type","Current.Contract.Type","Other.Contract.Type..Current.","Fixed.Term.Contract.Length..Current.","Current.Business.Start.Date","How.Created.Current.Business","Current.Business.Registered.","Business.Generating.Revenue.","Has.Had.Internship","Current.Internship.Start.Date","Has.Had.Paid.Job","Current.Employment.Start.Date","Received.Prior.Prof.Skills.Training.","Motivation.for.Training","Other.Motivation.for.Training","How.Learned.of.EFE","X1st.Preferred.Industry.of.Employment","X2nd.Preferred.Industry.of.Employment","Preferred.Industry.Other","Commit.to.Participation...Attendance","Number.Family.Members","Number.Family.Members.Working","Monthly.Family.Income","Previous.Work.Experience","Number.of.Previous.Jobs","Job.Tenure.in.Months..First.","First.Previous.Job.Salary","Reason.Left.Job..First.","Job.Tenure.in.Months..Second.","Second.Previous.Job.Salary","Reason.Left.Job..Second.","Job.Tenure.in.Months..Third.","Third.Previous.Job.Salary","Reason.Left.Job..Third.","Received.Other.Scholarship.","Scholarship.Details","Registered.Under.Social.Security","Internally.Displaced.Person.","Lives.in.IDP.camp.or.shelter.","Against.attending.training.online.","Strength.of.Applicant.Internet","Against.working.in.mixed.environment.","Years.of.Experience","English.Proficiency","Computer.Proficiency","NumApps","months_job","sorting","Retention_6_months","Retention at 6 Months","Retention_3_months","Retention at 3 Months","Retention_9_months","Retention at 9 Months","Retention_12_months","Retention at 12 Months","ConfidencePost","ConfidencePre","ConfidenceChange","ConfidencePercent","EfficacyPost","EfficacyPre","EfficacyChange","EfficacyPercent"
1849,4657,"Morocco Beneficiary","Male","Morocco",0,1,0,1,24,"Commerce/Sales/Distribution/Purchases","Niveau Bac + 2",2022-02-17,0,"NA",2022-03-04,230,"Kénitra","Rabat-Salé-Kénitra",2022-07-15 10:00:00,11,2022-03-15,"Full-time",0,17,0,17,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,0,0,1,0,0,1,"Morocco Beneficiary","Enrolled",2022-02-25,"Pathways to a Job",NA,NA,"No","Yes","4-6 Months","Other","Autre",NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,"No",NA,"No","Improve Job Search Skills",NA,"Friend","Commerce/Sales/Distribution/Purchases","Other","Autre","Yes",NA,NA,NA,NA,"NULL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Placed at Graduation",1,0,"No",0,"No",0,"No",0,"No",22,10,12,120.00%,21,12,9,75.00%
1850,875,"Morocco Beneficiary","Female","Morocco",1,1,1,1,32,"Industry/Materials","Bac+5",2013-07-19,0,"NA",2021-02-19,608,"Casablanca","Casablanca-Settat",2022-07-27 11:48:59,221,2021-09-28,"Full-time",1,302,1,302,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,"Morocco Beneficiary","Enrolled",2021-02-03,NA,NA,NA,"No","Yes","7-9 Months","Lack of job opportunities in the market",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,"Yes",NA,"No","Learn to Work Effectively On a Team",NA,"Other","Industry/Materials","Electronics / Automotive / Aerospace",NA,"Yes",NA,NA,NA,NA,"NULL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Placed at 9 Months",4,1,"Yes",1,"Yes",1,"Yes",NA,"Data Not Available",20,13,7,53.85%,21,15,6,40.00%
1851,4097,"Jordan Beneficiary","Male","Jordan",0,1,0,0,22,"No Specialization or specific area of study","Tawjihi ? Pass",2020-07-16,0,"NA",2022-03-13,221,NA,"Russeifa",2022-07-03 06:12:00,1,2022-03-14,"Full-time",0,31,0,31,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,0,0,1,0,0,1,"Jordan Beneficiary","Enrolled",2022-01-23,"Job Training and Placement","Single",NA,"No","Yes","More than 1 Year","Lack of job opportunities in the market",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,"Yes",NA,"No","Improve Professional Skills",NA,"Facebook","Other",NA,"??????","Yes",6,2,550,NA,"1",24,140,"Salary",NA,NA,NA,NA,NA,NA,"No",NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,1,"Placed at Graduation",1,0,"No",0,"No",0,"No",0,"No",24,19,5,26.32%,24,22,2,9.09%
1852,2539,"Tunisia Beneficiary","Female","Tunisia",1,1,0,1,29,"Other","University Degree",2018-06-17,0,"NA",2021-09-30,385,NA,"Médenine",2022-02-15 05:24:00,0,2021-09-30,"Full-time",1,138,1,138,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,"Tunisia Beneficiary","Enrolled",2021-08-26,"Job Training and Placement",NA,NA,"Yes",NA,NA,NA,NA,"Full-time","Karama Contract",NA,"Greater than 1 year",NA,NA,NA,NA,NA,NA,NA,2020-09-01,"No","Improve Professional Skills",NA,"My employer","Cuisine","Other","conception et design","Yes",NA,NA,NA,NA,"NULL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Placed at Graduation",1,NA,"Data Not Available",1,"Yes",NA,"Data Not Available",NA,"Data Not Available",NA,NA,NA, NA,NA,NA,NA, NA
1853,4849,"Jordan Beneficiary","Female","Jordan",0,1,0,0,32,NA,"Below Tawjihi",NA,0,"NA",2021-10-12,373,NA,"Irbid",2022-09-11 05:06:59,190,2022-04-20,"Self-Employed/Own Business",1,144,1,144,0,1,0,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,"Jordan Beneficiary","Enrolled",2021-10-02,"Job Training and Placement","Married",NA,"No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,"No",NA,"No","Help Me Find a Job",NA,"Facebook","Cuisine",NA,NA,"No",1,5,200,NA,"NULL",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,1,"Placed at 9 Months",4,NA,"Data Not Available",1,"Yes",NA,"Data Not Available",NA,"Data Not Available",22,22,0,0.00%,17,17,0,0.00%
1855,2815,"Tunisia Beneficiary","Female","Tunisia",1,1,0,1,22,"Computer science/Information technology","University Degree",2021-07-29,0,"NA",2021-09-30,385,NA,"Médenine",2022-02-15 07:21:59,0,2021-09-30,"Full-time",1,138,1,138,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,"Tunisia Beneficiary","Enrolled",2021-09-08,"Job Training and Placement",NA,NA,"Yes",NA,NA,NA,NA,"Part-time","Limited-Term Contract (Full-Time)",NA,"6 months - 1 year",NA,NA,NA,NA,NA,NA,NA,2021-08-15,"No","Improve Professional Skills",NA,"EFE Partner organization","Information technology","Education/Academia",NA,"Yes",NA,NA,NA,NA,"NULL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Placed at Graduation",1,NA,"Data Not Available",1,"Yes",NA,"Data Not Available",NA,"Data Not Available",NA,NA,NA, NA,NA,NA,NA, NA
1856,2137,"Morocco Beneficiary","Female","Morocco",0,1,0,1,24,"Science/Math/Physics","Niveau Bac / Bac",2020-07-15,0,"NA",2021-06-13,494,"Tangier","Tanger-Tétouan-Al Hoceïma",2022-04-22 09:28:00,64,2021-08-16,"Full-time",0,46,0,46,0,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,0,0,1,0,0,1,"Morocco Beneficiary","Enrolled",2021-06-25,"Pathways to a Job",NA,NA,"No","Yes","4-6 Months","Area of study not relevant to job opportunities",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,"No",NA,"Yes","Help Me Find a Job",NA,"ANAPEC","Electronics / Automotive / Aerospace","Agribusiness/Food",NA,"Yes",NA,NA,NA,NA,"NULL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Placed at 3 Months",2,0,"No",0,"No",0,"No",0,"No",18,13,5,38.46%,19,12,7,58.33%
1857,806,"Morocco Beneficiary","Female","Morocco",1,1,0,1,26,"Management/Economy","Niveau Bac + 2",2016-08-31,0,"NA",2021-02-19,608,NA,"Région de Rabat-Salé-Kénitra",2022-04-22 10:08:00,85,2021-05-15,"Full-time",1,342,1,342,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,"Morocco Beneficiary","Enrolled",2021-02-01,NA,NA,NA,"No","Yes","3 Months or Less","Insufficient job search resources",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes",NA,"No",NA,"No","Help Me Find a Job",NA,"Friend","Bank/Insurance","Commerce/Sales/Distribution/Purchases",NA,"Yes",NA,NA,NA,NA,"NULL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Placed at 3 Months",2,1,"Yes",1,"Yes",1,"Yes",0,"No",NA,NA,NA, NA,NA,NA,NA, NA
1858,3880,"Morocco Beneficiary","Female","Morocco",0,1,0,1,29,"Education/Training/Coaching","Bac+3",2016-03-31,0,"NA",2021-12-31,293,"Other Chichaoua","Marrakech-Safi",2022-04-22 08:51:59,1,2022-01-01,"Part-time",1,111,1,111,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,"Morocco Beneficiary","Enrolled",2021-12-30,"Pathways to a Job",NA,NA,"No","Yes","More than 1 Year","Difficulty in interviewing",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes",NA,"Yes",NA,"No","Improve Professional Skills",NA,"EFE Trainer","Education/Training/Coaching","Human Resources",NA,"Yes",NA,NA,NA,NA,"NULL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Placed at Graduation",1,NA,"Data Not Available",1,"Yes",NA,"Data Not Available",NA,"Data Not Available",25,25,0,0.00%,25,23,2,8.70%
1859,154,"Morocco Beneficiary","Female","Morocco",0,1,1,1,28,"Commerce/Sales/Distribution/Purchases","Niveau Bac + 2",2015-06-30,0,"NA",2021-03-05,594,NA,"Région de Casablanca-Settat",2021-11-20 10:12:00,180,2021-09-01,"Full-time",1,80,1,80,0,1,0,1,1,1,1,1,1,1,0,0,1,0,0,1,0,0,1,0,0,0,"Morocco Beneficiary","Enrolled",2020-11-26,NA,NA,NA,"No","Yes","3 Months or Less","Difficulty in interviewing",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes",NA,"Yes",NA,"No","Work in Field That This Training is Focused",NA,"My employer","Commerce/Sales/Distribution/Purchases","Marketing/Advertising",NA,"Yes",NA,NA,NA,NA,"NULL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Placed at 6 Months",3,0,"No",0,"No",0,"No",NA,"Data Not Available",23,21,2,9.52%,24,21,3,14.29%
1860,5327,"Morocco Beneficiary","Female","Morocco",0,1,0,1,23,"Social Sciences","Niveau Bac / Bac",2019-07-11,0,"NA",2022-03-04,230,"Other Sidi hya laghareb","Rabat-Salé-Kénitra",2022-07-18 05:06:59,10,2022-03-14,"Full-time",1,126,1,126,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,"Morocco Beneficiary","Enrolled",2022-03-03,"Job Training and Placement",NA,NA,"No","Yes","4-6 Months","Not yet completed university",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes",NA,"No",NA,"No","Learn to Plan Career Path",NA,"ANAPEC","Social Sciences","Social Sciences",NA,"No",NA,NA,NA,NA,"NULL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Placed at Graduation",1,NA,"Data Not Available",1,"Yes",NA,"Data Not Available",NA,"Data Not Available",21,12,9,75.00%,23,11,12,109.09%
1861,270,"Morocco Beneficiary","Female","Morocco",0,1,0,1,36,"Commerce/Sales/Distribution/Purchases","Bac+3",2009-09-20,0,"NA",2021-02-23,604,NA,"Ville de Casablanca",2021-11-20 08:55:00,62,2021-04-26,"Full-time",1,208,1,208,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,"Morocco Beneficiary","Enrolled",2021-02-02,NA,NA,NA,"No","Yes","4-6 Months","Area of study not relevant to job opportunities",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes",NA,"Yes",NA,"No","Improve Professional Skills",NA,"Facebook","Commerce/Sales/Distribution/Purchases","Communication/Audio-Visual/Infographic",NA,"Yes",NA,NA,NA,NA,"NULL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Placed at 3 Months",2,1,"Yes",1,"Yes",0,"No",0,"No",17,18,-1,-5.56%,17,18,-1,-5.56%
1863,1984,"Morocco Beneficiary","Female","Morocco",1,1,0,1,23,"Bank/Insurance","Bac+3",2020-07-21,0,"NA",2021-06-11,496,"Safi","Marrakech-Safi",2022-01-21 09:51:00,110,2021-09-29,"Full-time",0,30,0,30,0,1,0,1,1,1,1,1,1,1,0,0,1,0,0,1,0,0,1,0,0,1,"Morocco Beneficiary","Enrolled",2021-06-02,"Pathways to a Job",NA,NA,"No","Yes","4-6 Months","Insufficient professional experience",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes",NA,"No",NA,"No","Improve Professional Skills",NA,"Friend","Bank/Insurance","Commerce/Sales/Distribution/Purchases",NA,"Yes",NA,NA,NA,NA,"NULL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Placed at 6 Months",3,0,"No",0,"No",0,"No",0,"No",NA,NA,NA, NA,NA,NA,NA, NA
1864,2541,"Tunisia Beneficiary","Female","Tunisia",1,1,0,1,32,"Other","Advanced university degree (e.g. Masters, Doctorate, etc.)",2014-06-16,0,"NA",2021-09-30,385,NA,"Médenine",2022-05-06 11:28:00,0,2021-09-30,"Full-time",1,218,1,218,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,"Tunisia Beneficiary","Enrolled",2021-08-26,"Job Training and Placement",NA,NA,"Yes",NA,NA,NA,NA,"Full-time","Karama Contract",NA,"Less than 6 months",NA,NA,NA,NA,NA,NA,NA,2021-07-01,"No","Improve Professional Skills",NA,"Local newspapers","Factory production","Pharmaceuticals",NA,"Yes",NA,NA,NA,NA,"NULL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Placed at Graduation",1,1,"Yes",1,"Yes",NA,"Data Not Available",NA,"Data Not Available",NA,NA,NA, NA,NA,NA,NA, NA
1865,4684,"Morocco Beneficiary","Male","Morocco",1,1,0,1,29,"Communication/Audio-Visual/Infographic","Bac+3",2018-07-18,0,"NA",2022-03-04,230,"Kénitra","Rabat-Salé-Kénitra",2022-07-15 10:18:59,11,2022-03-15,"Full-time",1,122,1,122,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,"Morocco Beneficiary","Enrolled",2022-02-26,"Pathways to a Job",NA,NA,"No","Yes","4-6 Months","Insufficient job search resources",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes",NA,"No",NA,"No","Improve Professional Skills",NA,"EFE Alumni","Electronics / Automotive / Aerospace","Agribusiness/Food",NA,"Yes",NA,NA,NA,NA,"NULL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Placed at Graduation",1,NA,"Data Not Available",1,"Yes",NA,"Data Not Available",NA,"Data Not Available",23,12,11,91.67%,22,18,4,22.22%
1866,887,"Morocco Beneficiary","Female","Morocco",1,1,0,1,26,"Management/Economy","Bac+2",2019-08-22,0,"NA",2021-02-19,608,NA,"Marrakech et région",2022-04-22 10:14:00,163,2021-08-01,"Unpaid internship",0,60,0,60,0,1,0,1,1,1,1,1,1,1,0,0,1,0,0,1,0,0,1,0,0,1,"Morocco Beneficiary","Enrolled",2021-02-04,NA,NA,NA,"No","Yes","More than 1 Year","Difficulty in interviewing",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes",NA,"No",NA,"No","Improve Professional Skills",NA,"Friend","Management/Economy","Commerce/Sales/Distribution/Purchases",NA,"Yes",NA,NA,NA,NA,"NULL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Placed at 6 Months",3,0,"No",0,"No",0,"No",0,"No",NA,NA,NA, NA,NA,NA,NA, NA
1867,5328,"Morocco Beneficiary","Female","Morocco",0,1,0,1,29,NA,"Less than Niveau Bac",NA,0,"NA",2022-03-04,230,"Kénitra","Rabat-Salé-Kénitra",2022-04-07 09:24:00,3,2022-03-07,"Full-time",1,31,1,31,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,"Morocco Beneficiary","Enrolled",2022-03-03,"Pathways to a Job",NA,NA,"No","Yes","3 Months or Less","Lack of job opportunities in the market",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes",NA,"Yes",NA,"No","Improve Professional Skills",NA,"Friend","Art/Crafts","Hospitality/Catering/Tourism",NA,"No",NA,NA,NA,NA,"NULL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Placed at Graduation",1,NA,"Data Not Available",0,"No",NA,"Data Not Available",NA,"Data Not Available",22,8,14,175.00%,23,8,15,187.50%
1868,464,"Morocco Beneficiary","Male","Morocco",1,1,0,1,22,"Management/Economy","Bac+2",2020-07-07,0,"NA",2021-03-05,594,NA,"Région de Casablanca-Settat",2022-04-15 06:33:00,93,2021-06-06,"Full-time",1,313,1,313,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,"Morocco Beneficiary","Enrolled",2021-01-18,NA,NA,NA,"No","Yes","More than 1 Year","Insufficient professional experience",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes",NA,"No",NA,"No","Improve Professional Skills",NA,"Other","Communication/Audio-Visual/Infographic","Commerce/Sales/Distribution/Purchases",NA,"Yes",NA,NA,NA,NA,"NULL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Placed at 6 Months",3,1,"Yes",1,"Yes",1,"Yes",NA,"Data Not Available",22,24,-2,-8.33%,23,24,-1,-4.17%
1870,2808,"Morocco Beneficiary","Female","Morocco",0,1,0,1,24,"Management/Economy","Niveau Bac / Bac",2015-06-22,0,"NA",2021-08-21,425,"Other larache","Tanger-Tétouan-Al Hoceïma",2022-04-07 10:42:00,10,2021-08-31,"Full-time",1,219,1,219,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,"Morocco Beneficiary","Enrolled",2021-09-08,"Pathways to a Job",NA,NA,"Yes",NA,NA,NA,NA,"Full-time","ANAPEC Contract",NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-08-23,"Yes","Help Me Find a Job",NA,"ANAPEC","Electronics / Automotive / Aerospace","Commerce/Sales/Distribution/Purchases",NA,"Yes",NA,NA,NA,NA,"NULL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Placed at Graduation",1,1,"Yes",1,"Yes",0,"No",NA,"Data Not Available",23,8,15,187.50%,24,9,15,166.67%
1871,5302,"Morocco Beneficiary","Female","Morocco",0,1,0,1,27,"Art/Crafts","Bac+5",2019-12-04,0,"NA",2021-03-17,582,NA,"Ville de Casablanca",2022-04-22 07:57:00,168,2021-09-01,"Full-time",1,233,1,233,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,"Morocco Beneficiary","Enrolled",2019-10-02,NA,NA,NA,"No","Yes","4-6 Months","Lack of job opportunities in the market",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes",NA,"Yes",NA,"No","Work in Field That This Training is Focused",NA,"Facebook","Marketing/Advertising","Art/Crafts",NA,"Yes",NA,NA,NA,NA,"NULL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Placed at 6 Months",3,1,"Yes",1,"Yes",0,"No",NA,"Data Not Available",20,19,1,5.26%,23,21,2,9.52%
1872,1037,"Morocco Beneficiary","Female","Morocco",1,1,0,1,26,"Other","Bac+4",1996-07-22,0,"NA",2021-03-17,582,NA,"Ville de Casablanca",2022-02-24 09:11:00,167,2021-08-31,"Full-time",0,123,0,123,0,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,0,0,1,"Morocco Beneficiary","Enrolled",2021-03-03,NA,NA,NA,"No","Yes","3 Months or Less","Area of study not relevant to job opportunities",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes",NA,"No",NA,"No","Work in Field That This Training is Focused",NA,"Facebook","Secretarial/Office Work","Art/Crafts",NA,"Yes",NA,NA,NA,NA,"NULL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Placed at 6 Months",3,0,"No",1,"Yes",0,"No",0,"No",24,24,0,0.00%,23,22,1,4.55%
1873,579,"Jordan Beneficiary","Female","Syria",0,1,0,0,32,NA,"Tawjihi ? Incomplete",NA,0,"NA",2021-01-30,628,NA,"Zarqa",2022-04-18 06:53:00,305,2021-12-01,"Unpaid internship",0,0,0,0,0,1,0,1,0,1,0,1,1,1,0,0,1,0,0,1,0,0,1,0,0,1,"Jordan Beneficiary","Enrolled",2021-01-26,"Job Training and Placement","Single",NA,"No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,"No",NA,"No","Improve Professional Skills",NA,"Friend","Cuisine","Tourism/hospitality",NA,"Yes",4,1,300,NA,"NULL",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,1,"Placed at 12 Months",5,0,"No",0,"No",0,"No",0,"No",21,22,-1,-4.55%,15,17,-2,-11.76%
1874,18,"Morocco Beneficiary","Male","Morocco",0,1,0,1,24,"Human Resources","Bac+5",2020-12-31,0,"NA",2021-03-17,582,NA,"Ville de Casablanca",2022-04-22 07:41:00,75,2021-05-31,"Unpaid internship",0,217,1,326,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,"Morocco Beneficiary","Enrolled",2021-02-03,NA,NA,NA,"No","Yes","4-6 Months","Insufficient professional experience",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes",NA,"No",NA,"No","Improve Professional Skills",NA,"Facebook","Human Resources","Management/Economy",NA,"Yes",NA,NA,NA,NA,"NULL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Placed at 3 Months",2,1,"Yes",1,"Yes",0,"No",NA,"Data Not Available",NA,NA,NA, NA,NA,NA,NA, NA
1875,4647,"Morocco Beneficiary","Male","Morocco",0,1,0,1,27,NA,"Less than Niveau Bac",NA,0,"NA",2022-03-04,230,"Kénitra","Rabat-Salé-Kénitra",2022-07-18 05:51:00,3,2022-03-07,"Full-time",1,133,1,133,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,"Morocco Beneficiary","Enrolled",2022-02-25,"Pathways to a Job",NA,NA,"No","Yes","4-6 Months","Lack of job opportunities in the market",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes",NA,"Yes",NA,"No","Improve Job Search Skills",NA,"EFE Alumni","Other","Other","Cablage","Yes",NA,NA,NA,NA,"NULL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Placed at Graduation",1,NA,"Data Not Available",1,"Yes",NA,"Data Not Available",NA,"Data Not Available",22,12,10,83.33%,23,19,4,21.05%
1876,707,"Morocco Beneficiary","Female","Morocco",1,1,0,1,25,"Management/Economy","Bac+5",2020-11-17,0,"NA",2021-03-31,568,NA,"Région de Laâyoune-Sakia El Hamra",2022-07-08 10:49:00,154,2021-09-01,"Full-time",1,310,1,310,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,"Morocco Beneficiary","Enrolled",2021-03-23,NA,NA,NA,"No","Yes","4-6 Months","Lack of job opportunities in the market",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes",NA,"No",NA,"Yes","Improve Professional Skills",NA,"EFE Alumni","Management/Economy","Human Resources",NA,"Yes",NA,NA,NA,NA,"NULL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Placed at 6 Months",3,1,"Yes",1,"Yes",1,"Yes",NA,"Data Not Available",NA,NA,NA, NA,NA,NA,NA, NA
1878,4711,"Morocco Beneficiary","Female","Morocco",0,1,0,0,21,"Management/Economy","Niveau Bac / Bac",2020-07-14,0,"NA",2022-03-04,230,"Kénitra","Rabat-Salé-Kénitra",2022-07-18 05:41:00,10,2022-03-14,"Full-time",1,126,1,126,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,"Morocco Beneficiary","Enrolled",2022-02-26,"Entrepreneurship",NA,NA,"No","Yes","4-6 Months","Not yet completed university",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,"Yes",NA,"No","Improve Professional Skills",NA,"Other","Management/Economy","Electronics / Automotive / Aerospace",NA,"Yes",NA,NA,NA,NA,"NULL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Placed at Graduation",1,NA,"Data Not Available",1,"Yes",NA,"Data Not Available",NA,"Data Not Available",24,13,11,84.62%,21,14,7,50.00%
